TMAX_C,TMIN_C,PRCP_mm,WIND_m_s,SUN_sec,date,SUN_min,Bee_Activity
19.0,4.8,0.1,5.88,41175.6,2020-05-01,686.26,Moderate
21.9,13.1,0.0,5.49,42371.48,2020-05-02,706.1913333333334,Optimal
21.3,8.4,0.0,6.13,47787.52,2020-05-03,796.4586666666667,Optimal
13.9,3.9,0.0,4.84,37132.06,2020-05-04,618.8676666666667,Poor
10.6,4.8,4.0,3.47,0.0,2020-05-05,0.0,Poor
16.2,5.1,0.0,4.36,46459.81,2020-05-06,774.3301666666666,Moderate
15.9,6.0,0.0,4.3,46668.08,2020-05-07,777.8013333333333,Moderate
8.6,1.7,0.0,6.44,48470.11,2020-05-08,807.8351666666666,Poor
16.0,-0.8,0.9,5.46,39318.49,2020-05-09,655.3081666666666,Moderate
9.0,4.2,6.3,6.75,4798.23,2020-05-10,79.97049999999999,Poor
10.7,1.4,0.0,4.65,21292.12,2020-05-11,354.8686666666666,Poor
14.3,0.3,0.0,2.82,48974.12,2020-05-12,816.2353333333334,Moderate
17.6,3.8,5.6,6.61,39272.15,2020-05-13,654.5358333333334,Moderate
21.6,10.9,3.3,4.52,19985.51,2020-05-14,333.0918333333333,Moderate
21.0,11.8,0.0,4.58,49327.4,2020-05-15,822.1233333333333,Optimal
22.3,9.0,0.0,5.66,35352.01,2020-05-16,589.2001666666667,Optimal
14.7,11.1,20.3,7.8,0.0,2020-05-17,0.0,Poor
13.4,10.2,2.3,6.65,5.79,2020-05-18,0.0965,Poor
20.2,9.8,0.0,4.96,8988.91,2020-05-19,149.81516666666667,Moderate
22.9,10.6,0.0,6.09,49877.51,2020-05-20,831.2918333333333,Optimal
22.1,10.7,0.0,4.36,32762.61,2020-05-21,546.0435,Optimal
21.9,13.4,0.0,3.64,20676.0,2020-05-22,344.6,Moderate
22.2,14.6,22.9,6.26,19759.23,2020-05-23,329.3205,Moderate
28.3,11.9,0.0,4.95,43076.0,2020-05-24,717.9333333333333,Optimal
28.5,18.1,1.0,5.28,45737.33,2020-05-25,762.2888333333334,Optimal
29.1,19.3,1.5,5.51,47732.23,2020-05-26,795.5371666666667,Moderate
26.9,20.3,6.0,4.5,37336.72,2020-05-27,622.2786666666667,Moderate
21.2,15.4,35.3,4.32,0.0,2020-05-28,0.0,Moderate
17.7,12.4,0.0,5.64,32174.17,2020-05-29,536.2361666666667,Moderate
19.3,10.5,0.0,5.46,50400.0,2020-05-30,840.0,Moderate
22.1,7.4,0.0,3.61,50400.0,2020-05-31,840.0,Optimal
26.7,15.0,2.6,8.13,30253.15,2020-06-01,504.2191666666667,Moderate
31.9,20.9,20.6,4.82,46800.0,2020-06-02,780.0,Moderate
29.3,18.8,0.8,2.81,50400.0,2020-06-03,840.0,Optimal
30.3,15.8,0.0,3.04,50400.0,2020-06-04,840.0,Moderate
28.1,19.7,1.0,4.84,46800.0,2020-06-05,780.0,Optimal
25.7,16.0,0.0,4.4,46517.62,2020-06-06,775.2936666666667,Optimal
27.8,14.4,0.0,5.25,50400.0,2020-06-07,840.0,Optimal
31.3,19.0,0.0,4.71,50400.0,2020-06-08,840.0,Moderate
27.0,19.1,25.8,5.92,15588.46,2020-06-09,259.80766666666665,Moderate
23.0,16.9,6.9,7.14,28935.49,2020-06-10,482.2581666666667,Moderate
25.0,13.5,0.0,7.4,50515.22,2020-06-11,841.9203333333334,Optimal
26.7,13.5,0.3,4.87,50400.0,2020-06-12,840.0,Optimal
20.1,10.1,0.0,4.21,50440.32,2020-06-13,840.672,Optimal
22.6,9.4,0.0,5.33,50583.01,2020-06-14,843.0501666666667,Optimal
25.4,11.9,0.0,4.96,48444.41,2020-06-15,807.4068333333333,Optimal
27.7,14.8,0.0,4.2,50586.59,2020-06-16,843.1098333333333,Optimal
28.8,16.5,0.0,5.33,50587.95,2020-06-17,843.1324999999999,Optimal
30.3,16.6,0.0,4.22,50400.0,2020-06-18,840.0,Moderate
24.8,20.1,9.1,3.79,18787.91,2020-06-19,313.1318333333333,Moderate
24.3,18.5,38.9,3.8,23624.06,2020-06-20,393.7343333333334,Moderate
28.0,14.3,0.3,3.42,47936.09,2020-06-21,798.9348333333332,Optimal
21.3,16.5,22.3,3.7,0.0,2020-06-22,0.0,Moderate
22.1,14.2,0.3,5.04,50428.61,2020-06-23,840.4768333333334,Optimal
23.6,13.9,4.1,5.55,48559.16,2020-06-24,809.3193333333334,Moderate
27.8,13.7,0.0,3.22,50400.0,2020-06-25,840.0,Optimal
25.3,18.7,24.4,4.02,22483.48,2020-06-26,374.7246666666667,Moderate
29.1,18.0,0.0,2.89,50674.27,2020-06-27,844.5711666666666,Optimal
30.5,18.3,0.3,5.08,50427.62,2020-06-28,840.4603333333333,Moderate
29.9,21.4,13.9,4.96,40618.18,2020-06-29,676.9696666666666,Moderate
31.1,21.1,0.0,6.09,48327.49,2020-06-30,805.4581666666667,Moderate
30.1,21.8,0.2,3.96,49288.88,2020-07-01,821.4813333333333,Moderate
30.9,20.2,0.0,3.03,49142.14,2020-07-02,819.0356666666667,Moderate
31.1,20.0,0.7,2.35,50390.29,2020-07-03,839.8381666666667,Moderate
31.0,21.4,0.5,2.45,50386.84,2020-07-04,839.7806666666667,Moderate
31.7,21.3,0.0,2.72,50351.64,2020-07-05,839.194,Moderate
31.3,22.8,1.2,2.92,50391.32,2020-07-06,839.8553333333333,Moderate
32.5,23.1,0.7,4.11,50278.18,2020-07-07,837.9696666666666,Moderate
32.0,22.0,1.3,3.74,50312.92,2020-07-08,838.5486666666667,Moderate
31.8,20.8,8.8,3.42,31704.1,2020-07-09,528.4016666666666,Moderate
28.4,20.5,0.4,5.33,50299.55,2020-07-10,838.3258333333334,Optimal
29.1,19.1,0.4,3.41,32274.98,2020-07-11,537.9163333333333,Optimal
27.0,17.7,0.0,3.61,49144.0,2020-07-12,819.0666666666667,Optimal
28.2,17.3,0.2,4.14,50027.82,2020-07-13,833.797,Optimal
30.0,20.6,9.2,5.95,39600.0,2020-07-14,660.0,Moderate
24.5,17.3,1.1,3.76,13555.53,2020-07-15,225.9255,Moderate
27.4,12.8,0.0,3.09,42001.4,2020-07-16,700.0233333333333,Optimal
30.7,19.2,0.0,5.0,49802.88,2020-07-17,830.048,Moderate
32.8,24.0,2.1,6.9,48706.48,2020-07-18,811.7746666666667,Moderate
28.3,22.4,10.0,6.16,45804.25,2020-07-19,763.4041666666667,Moderate
26.0,18.1,0.0,3.04,43779.08,2020-07-20,729.6513333333334,Optimal
26.8,17.3,7.1,4.81,37474.3,2020-07-21,624.5716666666667,Moderate
24.0,17.9,0.6,4.24,48865.29,2020-07-22,814.4215,Optimal
26.4,15.0,0.0,2.56,49485.89,2020-07-23,824.7648333333333,Optimal
30.0,17.6,0.4,3.81,49430.45,2020-07-24,823.8408333333333,Optimal
32.8,21.1,0.0,4.84,44286.63,2020-07-25,738.1105,Moderate
31.4,24.7,21.8,4.6,34918.04,2020-07-26,581.9673333333334,Moderate
28.3,20.3,0.0,5.02,49259.91,2020-07-27,820.9985,Optimal
29.8,19.2,0.5,7.37,48571.36,2020-07-28,809.5226666666666,Optimal
29.2,18.5,0.0,2.42,48495.88,2020-07-29,808.2646666666666,Optimal
26.9,18.1,0.0,4.22,48904.05,2020-07-30,815.0675,Optimal
26.3,15.9,0.0,2.48,41544.38,2020-07-31,692.4063333333332,Optimal
26.8,15.8,0.0,2.56,37556.3,2020-08-01,625.9383333333334,Optimal
24.4,17.4,0.9,5.7,39886.45,2020-08-02,664.7741666666666,Optimal
21.7,14.1,0.0,5.38,43764.67,2020-08-03,729.4111666666666,Optimal
22.0,12.1,0.0,3.75,48272.64,2020-08-04,804.544,Optimal
24.4,14.8,0.0,2.52,33193.16,2020-08-05,553.2193333333333,Optimal
25.8,15.2,0.0,3.71,44423.71,2020-08-06,740.3951666666667,Optimal
28.4,16.6,0.0,4.94,47821.0,2020-08-07,797.0166666666667,Optimal
30.2,20.7,6.8,7.18,39331.48,2020-08-08,655.5246666666667,Moderate
30.3,21.6,0.9,5.55,34846.08,2020-08-09,580.768,Moderate
27.0,18.0,10.4,5.35,23311.89,2020-08-10,388.5315,Moderate
27.3,15.0,0.0,2.53,47298.18,2020-08-11,788.303,Optimal
28.2,15.3,0.0,4.02,47040.84,2020-08-12,784.0139999999999,Optimal
28.6,17.9,2.1,3.73,39286.47,2020-08-13,654.7745,Moderate
29.5,17.9,0.0,3.99,42631.83,2020-08-14,710.5305000000001,Optimal
25.2,17.6,2.2,5.77,39923.02,2020-08-15,665.3836666666666,Moderate
27.6,15.5,0.0,4.81,45769.25,2020-08-16,762.8208333333333,Optimal
26.2,17.9,0.3,5.3,38206.29,2020-08-17,636.7715000000001,Optimal
25.1,14.2,0.0,3.6,45761.45,2020-08-18,762.6908333333333,Optimal
26.5,14.4,0.0,3.58,45565.3,2020-08-19,759.4216666666667,Optimal
27.4,17.5,0.0,4.2,44157.58,2020-08-20,735.9596666666667,Optimal
29.1,17.1,0.0,4.03,44860.91,2020-08-21,747.6818333333334,Optimal
